,eng_word,rus,fr
0,for,для,pour
1,for,ради,pour
2,for,в течение,no_equality
3,for,в отношении,no_equality
4,for,для целей,no_equality
5,for,ибо,no_equality
6,for,чтобы,pour
7,cafe,кофейня,café
8,cafe,буфет,no_equality
9,cafe,кафе-ресторан,no_equality
10,follow,следовать,suivre
11,follow,следить,no_equality
12,follow,соблюдать,suivre
13,follow,сопровождать,suivre
14,follow,идти,suivre
15,follow,выполнять,suivre
16,follow,вытекать,no_equality
17,follow,далее следовать,no_equality
18,follow,повторять,no_equality
19,follow,последующий,suivi
20,warm,теплый,chaud
21,warm,сердечный,no_equality
22,warm,согревать,réchauffer
23,warm,погреться,no_equality
24,warm,утеплить,no_equality
25,warm,тепло,no_equality
26,warm,разминка,no_equality
27,collide,сталкиваться,no_equality
28,collide,конфликтовать,no_equality
29,collide,наехать,no_equality
30,collide,соударяться,no_equality
