,eng_word,rus,fr
0,for,для,pour
1,for,для,de
2,for,для,à
3,for,для,aux
4,for,для,par
5,for,для,dans
6,for,для,au
7,for,для,en
8,for,для,sur
9,for,ради,pour
10,for,в течение,pendant
11,for,в течение,par
12,for,в течение,durant
13,for,в отношении,au titre de | au titre
14,for,для целей,pour
15,for,для целей,au titre de | au titre
16,for,ибо,car
17,for,ибо,puisque
18,for,чтобы,pour
19,cafe,кофейня,café
20,cafe,буфет,no_equality
21,cafe,кафе-ресторан,café
22,cafe,кафе-ресторан,cafétéria
23,cafe,кафе-ресторан,bar
24,follow,следовать,suivre
25,follow,следовать,respecter
26,follow,следовать,poursuivre
27,follow,следовать,appliquer
28,follow,следовать,obéir
29,follow,следовать,adopter
30,follow,следовать,se conformer
31,follow,следить,suivre
32,follow,следить,observer
33,follow,соблюдать,suivre
34,follow,соблюдать,respecter
35,follow,соблюдать,appliquer
36,follow,соблюдать,observer
37,follow,соблюдать,se conformer | se conformer à
38,follow,сопровождать,accompagner
39,follow,идти,suivre
40,follow,идти,poursuivre
41,follow,идти,prendre
42,follow,выполнять,respecter
43,follow,выполнять,appliquer
44,follow,выполнять,se conformer
45,follow,вытекать,découler
46,follow,далее следовать,suivre
47,follow,далее следовать,respecter
48,follow,далее следовать,poursuivre
49,follow,далее следовать,appliquer
50,follow,далее следовать,se conformer
51,follow,повторять,no_equality
52,follow,последующий,no_equality
53,warm,теплый,chaud
54,warm,теплый,chaleureux
