,eng_word,rus,fr
0,for,для,pour
1,for,для,de
2,for,для,à
3,for,для,aux
4,for,для,par
5,for,для,dans
6,for,для,au
7,for,для,en
8,for,для,sur
9,for,для,puisque | qui
10,for,ради,pour | pourquoi
11,for,ради,permettant | argent
12,for,ради,durant | argent
13,for,в течение,pendant | à destination de | moyennant
14,for,в течение,par
15,for,в течение,durant
16,for,в течение,pour | pour une période
17,for,в течение,depuis | sur une période
18,for,в течение,puisque | sur une période
19,for,в отношении,pendant | concernant
20,for,в отношении,au titre de | en matière | au titre
21,for,в отношении,à destination de | en matière | à l'encontre | dans le domaine
22,for,в отношении,durant | quant au
23,for,в отношении,moyennant | concernant
24,for,для целей,pour
25,for,для целей,au titre de | en matière | au titre
26,for,для целей,à destination de | en matière
27,for,ибо,car
28,for,ибо,puisque | depuis | que | puisqu'
29,for,чтобы,pour | pour que | pouvoir
30,cafe,кофейня,café
31,cafe,буфет,no_equality
32,cafe,кафе-ресторан,café
33,cafe,кафе-ресторан,cafétéria
34,cafe,кафе-ресторан,bar
35,follow,следовать,suivre | poursuivre | faire suite | s'ensuivre | suivez-moi
36,follow,следовать,respecter | se conformer | prendre | observer | emprunter
37,follow,следовать,poursuivre
38,follow,следовать,appliquer | pratiquer
39,follow,следовать,obéir
40,follow,следовать,adopter | accompagner
41,follow,следовать,se conformer
42,follow,следить,suivre | surveiller | superviser | poursuivre | faire suite | s'ensuivre | suivez-moi
43,follow,следить,observer | respecter | regarder
44,follow,следить,prendre | regarder
45,follow,следить,adopter | faire attention
46,follow,следить,se conformer | contrôler | observer | occuper
47,follow,следить,emprunter | contrôler
48,follow,следить,longer | contrôler
49,follow,следить,pratiquer | faire attention
50,follow,соблюдать,suivre | poursuivre | faire suite | s'ensuivre | suivez-moi
51,follow,соблюдать,respecter | observer | se conformer à | respect | prendre | se conformer | emprunter
52,follow,соблюдать,appliquer | pratiquer
53,follow,соблюдать,observer
54,follow,соблюдать,adopter | se conformer aux | se conformer au
55,follow,соблюдать,imiter | maintenir
56,follow,соблюдать,accompagner | se conformer aux
57,follow,соблюдать,longer | honorer | se conformer aux
58,follow,сопровождать,accompagner | adopter | se conformer | enchaîner
59,follow,сопровождать,respecter | escorter
60,follow,сопровождать,observer | escorter
61,follow,идти,suivre | venir | poursuivre | faire suite | s'ensuivre | suivez-moi
62,follow,идти,poursuivre
63,follow,идти,prendre
64,follow,идти,respecter | rentrer | prendre | retourner | entrer
65,follow,идти,observer | rentrer
66,follow,идти,se conformer | continuer
67,follow,идти,emprunter | rentrer | continuer
68,follow,идти,accompagner | marcher
69,follow,идти,pratiquer | partir
70,follow,выполнять,respecter | exercer | exécuter | se conformer | mettre en œuvre | prendre | observer | emprunter
71,follow,выполнять,appliquer | remplir
72,follow,выполнять,se conformer
73,follow,выполнять,poursuivre | jouer
74,follow,выполнять,imiter | tenir
75,follow,выполнять,accompagner | accomplir
76,follow,выполнять,faire suite | s'acquitter | faire | tenir | satisfaire
77,follow,выполнять,longer | honorer
78,follow,выполнять,pratiquer | s'acquitter | appliquer
79,follow,вытекать,découler | succéder
80,follow,далее следовать,suivre | poursuivre
81,follow,далее следовать,respecter | se conformer | prendre | observer
82,follow,далее следовать,poursuivre
83,follow,далее следовать,appliquer | par ailleurs | pratiquer
84,follow,далее следовать,se conformer
85,follow,далее следовать,adopter | en outre
86,follow,далее следовать,emprunter | en outre | respecter
87,follow,далее следовать,faire suite | ensuite | suivre
88,follow,далее следовать,longer | en outre
89,follow,далее следовать,s'ensuivre | ensuite
90,follow,повторять,no_equality
91,follow,последующий,poursuivre | ultérieur | ultérieurement
92,follow,последующий,pratiquer | ultérieur
93,warm,теплый,chaud
94,warm,теплый,chaleureux | chauffer | se réchauffer | chaleur | accueil | chaleureusement | accueillante
